BGI,S1,ST,S1_conf,ST_conf
BGI_1,-0.0006034297593103653,0.2713354566313211,0.06618604586126947,0.04966451628393076
BGI_2,-0.02187112097650714,0.284373090037417,0.06574844110585526,0.05576776550661236
BGI_3,0.00548207932115379,0.2877579049690103,0.07382376046526327,0.04915186044711787
BGI_4,-0.010691377030722012,0.3510729594195676,0.0758782567680072,0.06084988835864761
BGI_5,-0.029588864657530946,0.3195907367322569,0.07395306319882772,0.057274469268660484
BGI_6,0.013120582529552638,0.34106019942874316,0.06484138444860814,0.057762452772288704
BGI_7,0.0038798034167367794,0.2991310899827606,0.06652068890036654,0.056125015910835345
BGI_8,-0.040461463146415966,0.32338783134174565,0.07357169830143175,0.061358177927534834
BGI_9,-0.021872188626462594,0.2971551369696033,0.0717491665073587,0.05285072607700729
BGI_10,0.039729393814246415,0.3517463944374385,0.08149989379833518,0.06349064102593804
BGI_11,0.0927722506374157,0.27464426572055994,0.06753210625894336,0.04811855134240036
BGI_12,0.04091389737999669,0.31168824040073234,0.06795114347980377,0.051503708672364194
BGI_13,0.0665927133526196,0.30811289069444253,0.06841300381517933,0.054526035422333474
BGI_14,0.04015287728197491,0.36555941594784985,0.07885078937137482,0.06510364942150498
BGI_15,0.05654236529784388,0.327049483172979,0.07896841484157398,0.06127673836452684
BGI_16,0.017981482290260888,0.34013338100485696,0.06394146632588839,0.05868452022272875
BGI_17,0.028035900672481812,0.3419933822709907,0.06905535168069053,0.06044617061934744
BGI_18,0.004317409254642915,0.3307994566080607,0.07223002204935325,0.05529763957625776
BGI_19,-0.029019638426970955,0.302280237845989,0.06588110237749448,0.0496776039645612
BGI_20,0.008899157026587692,0.32629343310906983,0.07750315665731802,0.05393757143137655
BGI_21,0.020904136151012127,0.33495523820909806,0.07802103001129267,0.06286217598598819
BGI_22,0.06936950636400471,0.29942171135582357,0.07253381414818534,0.06415640780413015
BGI_23,-0.0007101886646415544,0.2983386587004293,0.06320458873555339,0.05494355616305147
BGI_24,0.06192901551013117,0.3015804425087987,0.06839709714481632,0.050170050746558725
BGI_25,0.010383804967378098,0.30170600207969356,0.07446452519313843,0.04830810077483341
BGI_26,0.5690536685017499,0.9499974519699145,0.10308579248075009,0.10437607708193436
BGI_27,0.013249735638719997,0.27958813366447,0.06935998509258182,0.04761070323628475
BGI_28,-0.01247800788772596,0.37552834406702607,0.0708709823230319,0.06509359171054858
BGI_29,-0.010903133291107736,0.29909297996800477,0.060068639719048175,0.05777058977151212
BGI_30,0.03643756817140731,0.3184524390895953,0.07278945165434444,0.05495867724962535
BGI_31,9.163688136252165e-05,2.271913766047131e-05,0.0006025289087058651,2.45710014494879e-06
BGI_32,0.03555720599098371,0.37971450964610626,0.08014421961261721,0.0650106956941248
BGI_33,0.011470592036475834,0.3170788721547172,0.07738832584124472,0.05605126754639599
BGI_34,0.029035664932052473,0.30168677113286607,0.06423302850111523,0.05343391648458298
BGI_35,0.004771523288375871,0.3255944486232573,0.07349789957804448,0.06256186710085722
BGI_36,0.02248535689945144,0.2771713987825349,0.06630033183117923,0.050352795699649955
BGI_37,0.004646635355899679,0.3011934522144404,0.06482275716340775,0.04948195294764652
BGI_38,0.03467699831282125,0.36109157895902777,0.07564767176575644,0.06388738264902498
BGI_39,0.06244914671624319,0.3423639107524714,0.06339237640935891,0.06437023908895609
BGI_40,0.03324839018792883,0.3312573887484337,0.06339427213410807,0.05558900101281573
BGI_41,0.04194766195564455,0.34873779924605325,0.07298912539328255,0.05607501611770119
BGI_42,0.04878334933710618,0.35737685461025565,0.06842591583240473,0.0675140419021249
BGI_43,0.057217982506011095,0.32455270349088217,0.0621714466723371,0.059609870649238415
BGI_44,9.636401211483645e-05,3.916565145508563e-06,0.0002206210967101612,3.965087875211405e-07
BGI_45,0.04411800732459468,0.33887466428305274,0.06360833509658145,0.06023826386965669
BGI_46,0.021545837296715085,0.34190842646531533,0.07273110307042692,0.05718120798645901
BGI_47,0.07349357741093607,0.3271857521016942,0.07614352504070261,0.053878835735203
BGI_48,0.03598593092115098,0.3313556547559709,0.06672637283440815,0.06053402386645088
BGI_49,0.0798410911771136,0.365035651855051,0.08329296970104516,0.05856335869144632
BGI_50,0.013453243330267714,0.20706523455682127,0.053085728048365116,0.03953329584282644
BGI_51,0.037727225954531096,0.24849274828069146,0.06637556302800758,0.048125455160034226
BGI_52,0.005576047586032969,0.29392912651539427,0.0593354735226242,0.0480702618447149
BGI_53,0.01973717927260203,0.3267548534402749,0.07646199655976225,0.056093500406476905
